id,name,name_en,slug,type,region,governorate_id,governorate,parent_id,inside_city_id,inside_city,latitude,longitude,coordinate_quality,delivery_fee,standard_delivery_fee,express_delivery_fee,free_delivery_over,active,source_note
1001,جنين,Jenin,jenin,city,west_bank,1,جنين,,,,32.46,35.3,governorate_center,15,15,25,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1002,قباطية,Qabatiya,qabatiya,town,west_bank,1,جنين,,,,32.386911,35.311664,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1003,عرابة,Arraba,arraba,town,west_bank,1,جنين,,,,32.474229,35.319835,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1004,يعبد,Yaabad,yaabad,town,west_bank,1,جنين,,,,32.451205,35.209604,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1005,برقين,Burqin,burqin,town,west_bank,1,جنين,,,,32.415426,35.427409,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1006,سيلة الظهر,Silat ad-Dhahr,silat-ad-dhahr,town,west_bank,1,جنين,,,,32.486663,35.286967,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1007,الزبابدة,Zababdeh,zababdeh,town,west_bank,1,جنين,,,,32.406601,35.24958,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1008,ميثلون,Meithalun,meithalun,town,west_bank,1,جنين,,,,32.491813,35.458368,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1009,كفر راعي,Kafr Rai,kafr-rai,town,west_bank,1,جنين,,,,32.474227,35.237328,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1010,جبع,Jaba,jaba,town,west_bank,1,جنين,,,,32.396736,35.353833,approximate_generated,20,20,30,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1011,عجة,Ajjah,ajjah,village,west_bank,1,جنين,,,,32.47375,35.30784,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1012,عنزة,Anza,anza,village,west_bank,1,جنين,,,,32.436447,35.226113,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1013,صانور,Sanur,sanur,village,west_bank,1,جنين,,,,32.442928,35.441229,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
1014,سيريس,Siris,siris,village,west_bank,1,جنين,,,,32.479706,35.274807,approximate_generated,23,23,33,300,True,Names compiled from common locality lists; coordinates and fees require field validation.
